County,County Code,Year,Year Code,Births,Total Population,Birth Rate
"Baldwin County, AL",1003,2010,2010,2167,182265,11.89
"Baldwin County, AL",1003,2020,2020,2292,229287,10
"Calhoun County, AL",1015,2010,2010,1318,118572,11.12
"Calhoun County, AL",1015,2020,2020,1262,113469,11.12
"Etowah County, AL",1055,2010,2010,1236,104430,11.84
"Etowah County, AL",1055,2020,2020,1171,102371,11.44
"Houston County, AL",1069,2020,2020,1337,106580,12.54
"Jefferson County, AL",1073,2010,2010,8894,658466,13.51
"Jefferson County, AL",1073,2020,2020,7929,655342,12.1
"Lee County, AL",1081,2010,2010,1532,140247,10.92
"Lee County, AL",1081,2020,2020,1842,166831,11.04
"Madison County, AL",1089,2010,2010,4195,334811,12.53
"Madison County, AL",1089,2020,2020,4337,379453,11.43
"Mobile County, AL",1097,2010,2010,5707,412992,13.82
"Mobile County, AL",1097,2020,2020,5302,412716,12.85
"Montgomery County, AL",1101,2010,2010,3084,229363,13.45
"Montgomery County, AL",1101,2020,2020,3138,224639,13.97
"Morgan County, AL",1103,2010,2010,1504,119490,12.59
"Morgan County, AL",1103,2020,2020,1464,119883,12.21
"Shelby County, AL",1117,2010,2010,2498,195085,12.8
"Shelby County, AL",1117,2020,2020,2230,221428,10.07
"Tuscaloosa County, AL",1125,2010,2010,2470,194656,12.69
"Tuscaloosa County, AL",1125,2020,2020,2570,210758,12.19
"Unidentified Counties, AL",1999,2010,2010,25445,2089359,12.18
"Unidentified Counties, AL",1999,2020,2020,22773,1978775,11.51
"Anchorage Borough, AK",2020,2010,2010,4575,291826,15.68
"Anchorage Borough, AK",2020,2020,2020,3773,287095,13.14
"Unidentified Counties, AK",2999,2010,2010,6896,418405,16.48
"Unidentified Counties, AK",2999,2020,2020,5696,444063,12.83
"Cochise County, AZ",4003,2010,2010,1783,131346,13.57
"Cochise County, AZ",4003,2020,2020,1279,127450,10.04
"Coconino County, AZ",4005,2010,2010,1784,134421,13.27
"Coconino County, AZ",4005,2020,2020,1328,142481,9.32
"Maricopa County, AZ",4013,2010,2010,54348,3817117,14.24
"Maricopa County, AZ",4013,2020,2020,49365,4579081,10.78
"Mohave County, AZ",4015,2010,2010,2170,200186,10.84
"Mohave County, AZ",4015,2020,2020,1710,217206,7.87
"Navajo County, AZ",4017,2020,2020,1305,112112,11.64
"Pima County, AZ",4019,2010,2010,12184,980263,12.43
"Pima County, AZ",4019,2020,2020,10050,1061175,9.47
"Pinal County, AZ",4021,2010,2010,4998,375770,13.3
"Pinal County, AZ",4021,2020,2020,4650,480828,9.67
"Yavapai County, AZ",4025,2010,2010,1827,211033,8.66
"Yavapai County, AZ",4025,2020,2020,1689,240226,7.03
"Yuma County, AZ",4027,2010,2010,3230,195751,16.5
"Yuma County, AZ",4027,2020,2020,2980,217824,13.68
"Unidentified Counties, AZ",4999,2010,2010,5153,346130,14.89
"Unidentified Counties, AZ",4999,2020,2020,2591,243018,10.66
"Benton County, AR",5007,2010,2010,3214,221339,14.52
