state,county_name,year,state_po,county_fips,party,candidatevotes,totalvotes
ALABAMA,AUTAUGA,2008,AL,1001,DEMOCRAT,6093,23641
ALABAMA,BALDWIN,2008,AL,1003,DEMOCRAT,19386,81413
ALABAMA,BARBOUR,2008,AL,1005,DEMOCRAT,5697,11630
ALABAMA,BIBB,2008,AL,1007,DEMOCRAT,2299,8644
ALABAMA,BLOUNT,2008,AL,1009,DEMOCRAT,3522,24267
ALABAMA,BULLOCK,2008,AL,1011,DEMOCRAT,4011,5415
ALABAMA,BUTLER,2008,AL,1013,DEMOCRAT,4188,9709
ALABAMA,CALHOUN,2008,AL,1015,DEMOCRAT,16334,49242
ALABAMA,CHAMBERS,2008,AL,1017,DEMOCRAT,6799,14956
ALABAMA,CHEROKEE,2008,AL,1019,DEMOCRAT,2306,9745
ALABAMA,CHILTON,2008,AL,1021,DEMOCRAT,3674,17785
ALABAMA,CHOCTAW,2008,AL,1023,DEMOCRAT,3636,7894
ALABAMA,CLARKE,2008,AL,1025,DEMOCRAT,5914,13435
ALABAMA,CLAY,2008,AL,1027,DEMOCRAT,1760,6819
ALABAMA,CLEBURNE,2008,AL,1029,DEMOCRAT,1168,6492
ALABAMA,COFFEE,2008,AL,1031,DEMOCRAT,5079,20128
ALABAMA,COLBERT,2008,AL,1033,DEMOCRAT,9703,24843
ALABAMA,CONECUH,2008,AL,1035,DEMOCRAT,3429,6943
ALABAMA,COOSA,2008,AL,1037,DEMOCRAT,2273,5563
ALABAMA,COVINGTON,2008,AL,1039,DEMOCRAT,3240,15787
ALABAMA,CRENSHAW,2008,AL,1041,DEMOCRAT,1938,6291
ALABAMA,CULLMAN,2008,AL,1043,DEMOCRAT,5864,35305
ALABAMA,DALE,2008,AL,1045,DEMOCRAT,5270,19320
ALABAMA,DALLAS,2008,AL,1047,DEMOCRAT,13986,20852
ALABAMA,DEKALB,2008,AL,1049,DEMOCRAT,5658,24015
ALABAMA,ELMORE,2008,AL,1051,DEMOCRAT,8301,34315
ALABAMA,ESCAMBIA,2008,AL,1053,DEMOCRAT,5188,14674
ALABAMA,ETOWAH,2008,AL,1055,DEMOCRAT,13497,44737
ALABAMA,FAYETTE,2008,AL,1057,DEMOCRAT,1994,7957
ALABAMA,FRANKLIN,2008,AL,1059,DEMOCRAT,3469,11693
ALABAMA,GENEVA,2008,AL,1061,DEMOCRAT,2134,11657
ALABAMA,GREENE,2008,AL,1063,DEMOCRAT,4408,5305
ALABAMA,HALE,2008,AL,1065,DEMOCRAT,4982,8214
ALABAMA,HENRY,2008,AL,1067,DEMOCRAT,3018,8648
ALABAMA,HOUSTON,2008,AL,1069,DEMOCRAT,12225,41735
ALABAMA,JACKSON,2008,AL,1071,DEMOCRAT,6374,20874
ALABAMA,JEFFERSON,2008,AL,1073,DEMOCRAT,166121,318524
ALABAMA,LAMAR,2008,AL,1075,DEMOCRAT,1614,7075
ALABAMA,LAUDERDALE,2008,AL,1077,DEMOCRAT,13329,38104
ALABAMA,LAWRENCE,2008,AL,1079,DEMOCRAT,5164,14680
