fips,TOT_POP_1519_C,TOT_POP_2024_C,TOT_POP_2529_C,TOT_POP_3034_C,TOT_POP_3539_C,TOT_FEMALE_1519_C,TOT_FEMALE_2024_C,TOT_FEMALE_2529_C,TOT_FEMALE_3034_C,TOT_FEMALE_3539_C,WA_FEMALE_1519_C,WA_FEMALE_2024_C,WA_FEMALE_2529_C,WA_FEMALE_3034_C,WA_FEMALE_3539_C,BA_FEMALE_1519_C,BA_FEMALE_2024_C,BA_FEMALE_2529_C,BA_FEMALE_3034_C,BA_FEMALE_3539_C,H_FEMALE_1519_C,H_FEMALE_2024_C,H_FEMALE_2529_C,H_FEMALE_3034_C,H_FEMALE_3539_C,NHWA_FEMALE_1519_C,NHWA_FEMALE_2024_C,NHWA_FEMALE_2529_C,NHWA_FEMALE_3034_C,NHWA_FEMALE_3539_C,NHBA_FEMALE_1519_C,NHBA_FEMALE_2024_C,NHBA_FEMALE_2529_C,NHBA_FEMALE_3034_C,NHBA_FEMALE_3539_C,dem2010_P,birth_rate_2010_N,births_2010_N,birth_rate_2020_N,births_2020_N,NHWA_FEMALE_2034_share_X,NHBA_FEMALE_2034_share_X,H_FEMALE_2034_share_X,race_category_X,regime_X,pol_group_X,reg_Minority_majority_X,reg_Mixed_Competitive_X,reg_Mixed_Democratic_X,reg_Mixed_Republican_X,reg_White_Competitive_X,reg_White_Democratic_X,reg_White_Republican_X
1003,11600,9449,10247,10709,11558,5670,4656,5064,5392,5833,4636,3830,4362,4667,5065,818,660,543,543,572,263,315,345,327,263,4412,3542,4040,4368,4823,805,643,538,532,563,0.2270068312809681,11.89,2167.0,10.0,2292.0,0.7907623080995235,0.11335362625727899,0.06531233456855479,White,White_Republican,Republican,False,False,False,False,False,False,True
1015,8607,9022,7601,7186,7232,4264,4548,3890,3669,3708,2860,3059,2783,2686,2836,1297,1352,973,876,784,125,211,170,167,109,2755,2896,2641,2540,2742,1291,1322,959,869,777,0.3335154627267608,11.12,1318.0,11.12,1262.0,0.6671347154538697,0.26018006112166514,0.04526307095068968,White,White_Republican,Republican,False,False,False,False,False,False,True
1055,7224,6070,6022,6024,6931,3456,3006,3057,3129,3509,2629,2267,2406,2486,2836,721,641,562,552,575,138,153,142,125,92,2530,2150,2304,2391,2774,716,639,554,545,567,0.301365573042324,11.84,1236.0,11.44,1171.0,0.7446692776327241,0.1890774586597041,0.04569190600522193,White,White_Republican,Republican,False,False,False,False,False,False,True
1073,44662,46405,48533,44764,42291,22094,24107,25309,23312,21765,10224,12139,13004,11644,11174,11264,11136,11359,10803,9877,743,1170,1347,1145,864,9631,11178,11891,10681,10459,11164,11021,11252,10720,9785,0.5237917444667104,13.51,8894.0,12.1,7929.0,0.46405785942140576,0.4536492135078649,0.0503519964800352,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
1081,13185,21095,10675,8672,8721,6604,10227,5245,4443,4545,4867,8144,3659,2931,3127,1446,1733,1270,1253,1216,199,289,200,171,140,4702,7899,3499,2791,3010,1430,1703,1245,1243,1199,0.3945294688995007,10.92,1532.0,11.04,1842.0,0.7124780316344465,0.21044438865177,0.033140848606577955,White,White_Republican,Republican,False,False,False,False,False,False,True
1089,24777,24321,23246,20712,21103,11948,11904,11420,10467,10969,7130,6385,7199,6617,7309,4064,4832,3535,3051,2943,590,706,712,587,506,6669,5862,6622,6159,6886,3988,4706,3456,2982,2897,0.4096433586863229,12.53,4195.0,11.43,4337.0,0.5517149536858927,0.3297919564381048,0.059335325974371876,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
1097,30802,29130,27657,25974,25565,15189,15075,14409,13387,13177,8012,8535,8106,7577,7836,6461,5818,5597,5239,4737,333,408,384,356,314,7753,8210,7811,7306,7591,6422,5767,5549,5195,4699,0.4516923644574347,13.82,5707.0,12.85,5302.0,0.544120734295911,0.3851321406078701,0.02677800844393646,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
1101,16751,18836,17272,15481,15191,8244,9630,8852,8048,7935,2460,2839,2966,2734,2775,5481,6542,5542,4904,4771,274,416,419,352,267,2260,2509,2631,2450,2570,5443,6501,5490,4873,4735,0.6062256965609618,13.45,3084.0,13.97,3138.0,0.2860912174896344,0.6356577459479834,0.044741801733886165,Black,Minority_majority,Democratic,True,False,False,False,False,False,False
1103,8091,6944,7501,7560,7799,3962,3326,3653,3744,3765,3139,2682,2993,3036,3064,649,524,525,569,569,326,366,452,411,289,2855,2356,2594,2667,2811,635,508,510,556,553,0.2736945510223142,12.59,1504.0,12.21,1464.0,0.710342254965961,0.14678727967919425,0.11461344772918027,White,White_Republican,Republican,False,False,False,False,False,False,True
1117,12688,10697,13060,14065,15174,6113,5404,6738,7131,7697,5112,4372,5455,5739,6356,766,834,1022,1099,1019,376,418,549,567,459,4771,3988,4955,5214,5932,753,827,1006,1081,1003,0.2221460886602175,12.8,2498.0,10.07,2230.0,0.7345509261661392,0.15119597364188242,0.07959321330358533,White,White_Republican,Republican,False,False,False,False,False,False,True
1125,18398,26934,14045,12129,11869,9509,13306,7021,6192,6104,6222,9661,4311,3691,3716,3043,3240,2459,2340,2232,255,422,278,208,142,6000,9283,4069,3519,3586,3028,3217,2443,2323,2228,0.4116947200336589,12.69,2470.0,12.19,2570.0,0.6361853765224933,0.30102945058260117,0.03423960179493948,White,White_Competitive,Competitive,False,False,False,False,True,False,False
2020,21187,24379,24820,20620,19569,10197,11320,12000,10162,9726,6060,7100,8046,6804,6642,656,703,672,587,562,985,1055,1015,836,741,5408,6398,7340,6237,6090,576,599,593,515,504,0.434188105916093,15.68,4575.0,13.14,3773.0,0.5965892121139716,0.05098261752583478,0.08679290364972224,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
4003,9245,8211,8919,7560,7294,4269,3586,3989,3554,3413,3657,3074,3435,3059,2978,248,219,216,183,143,1961,1419,1470,1331,1290,1860,1778,2115,1837,1790,211,180,168,153,113,0.3832419152777334,13.57,1783.0,10.04,1279.0,0.5148710575972684,0.04501752178991823,0.37918950489711567,Mixed,Mixed_Republican,Republican,False,False,False,True,False,False,False
4005,13324,15925,9943,8186,7849,7003,8155,4679,4031,3824,4423,5662,3001,2576,2473,178,123,60,37,44,1082,1117,643,574,549,3536,4694,2461,2082,2002,149,105,44,23,35,0.5719841111253929,13.27,1784.0,9.32,1328.0,0.5477023421286689,0.010198636228876371,0.13839312184998517,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
4013,276899,266872,276704,264422,265969,134347,129341,136755,131224,132870,110773,106942,113050,108765,111118,9104,8263,8177,7523,7412,53754,46734,45602,45371,43222,62553,65221,71942,67555,71437,7727,6932,6969,6327,6452,0.4393457035437511,14.24,54348.0,10.78,49365.0,0.5152471559448304,0.05091110439947649,0.3465896506594181,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
4015,11709,9288,9329,8948,9437,5725,4579,4488,4319,4675,5164,4128,4061,3878,4281,81,50,37,39,43,1353,1005,889,869,915,3988,3264,3260,3103,3442,60,32,32,30,31,0.3028917815696366,10.84,2170.0,7.87,1710.0,0.7191842223218288,0.007022262064843867,0.20640968175705962,White,White_Republican,Republican,False,False,False,False,False,False,True
4019,71344,75340,66182,59991,58486,35145,36841,32589,29899,29144,29148,30484,27012,24898,24741,1556,1671,1445,1238,1046,15815,14632,13269,12700,11926,15086,17560,15230,13618,13912,1171,1307,1099,934,861,0.5253694589549065,12.43,12184.0,9.47,10050.0,0.4672150127354549,0.033625627963635996,0.4087527308238279,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
4021,22650,21171,27603,29143,27212,10714,9105,12242,12881,11730,8302,7236,10290,10775,9736,724,445,506,635,624,4312,3362,3778,3829,3528,4634,4402,7042,7421,6620,620,354,398,531,539,0.4154922549178825,13.3,4998.0,9.67,4650.0,0.5511569475283393,0.03748393128432862,0.3204686221806708,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
4025,11916,10167,9457,9095,9733,5587,4750,4611,4472,4958,5110,4323,4275,4151,4606,62,47,33,35,27,1285,1034,954,935,951,3965,3389,3413,3299,3738,41,29,19,18,22,0.3542079545165761,8.66,1827.0,7.03,1689.0,0.7302103665148558,0.004771199306007373,0.21130629653726596,White,White_Republican,Republican,False,False,False,False,False,False,True
4027,16303,14708,12868,11327,11355,7827,6670,6127,5440,5918,7171,6068,5589,4986,5434,170,157,150,98,115,6047,4718,4163,3714,4209,1416,1621,1666,1437,1417,95,86,83,63,53,0.427988318454191,16.5,3230.0,13.68,2980.0,0.2590338323189121,0.012721390579590942,0.6906289411635685,Hispanic,Minority_majority,Competitive,True,False,False,False,False,False,False
5007,14681,13114,16091,16361,15927,7085,6677,8230,8107,7958,6434,5992,7154,7129,7207,99,93,192,160,120,1541,1277,1376,1501,1457,4989,4796,5872,5735,5831,78,75,169,131,104,0.296147394826285,14.52,3214.0,12.68,3661.0,0.7127400712609716,0.016294429477709222,0.1804988268010776,White,White_Republican,Republican,False,False,False,False,False,False,True
5119,23816,26444,30657,27500,25750,11667,13281,15742,14016,13320,5429,7014,8754,7423,7352,5644,5599,6180,5827,5326,691,970,1069,933,742,4852,6212,7875,6626,6720,5594,5533,6103,5775,5278,0.5490663796016576,15.06,5763.0,12.83,5041.0,0.4812611817189061,0.40454006831013734,0.06905364901600873,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
5131,8858,8581,8393,7836,7935,4342,4277,4130,3928,3985,3442,3481,3403,3227,3330,377,335,279,265,236,668,591,616,602,602,2866,2973,2863,2686,2785,360,310,262,250,227,0.3091700395555299,13.82,1738.0,12.15,1550.0,0.6908796108633969,0.0666396432914471,0.14665585731657885,White,White_Republican,Republican,False,False,False,False,False,False,True
5143,16344,21904,17252,15034,13353,8254,10507,8301,7221,6536,7174,9189,7140,6237,5793,333,415,314,250,207,1412,1315,1412,1382,1225,5875,7967,5815,4931,4635,306,392,300,236,183,0.4125728644680422,15.82,3213.0,12.69,3086.0,0.718928887010642,0.03565254139613508,0.15786238426370586,White,White_Competitive,Competitive,False,False,False,False,True,False,False
6001,100394,107049,113597,114607,115275,48949,52534,57412,58351,58213,24069,26166,29169,28469,28152,7504,7448,7658,7552,7377,14103,13989,15012,14528,13461,12583,14860,16974,16541,16847,6914,6750,6939,6862,6788,0.7880537897478131,12.78,19306.0,10.42,17316.0,0.2874382787571971,0.12211150525558982,0.258643944930688,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
6007,17841,22818,14721,11960,11482,8683,10913,6897,5747,5618,7194,9210,5947,4979,4874,208,214,116,85,90,1689,1761,1188,974,918,5747,7710,4929,4148,4062,162,182,94,59,71,0.4843254942200942,11.17,2457.0,9.36,1991.0,0.7126119624739993,0.014220826081419535,0.16653224094748906,White,White_Competitive,Competitive,False,False,False,False,True,False,False
6013,73766,59943,64747,64896,70520,35579,29150,32444,33259,36267,23003,18763,21353,21255,22805,4556,3913,3607,3608,3695,11195,9760,10483,10393,9762,13532,10441,12331,12235,14276,4133,3557,3213,3259,3405,0.6716657744817349,11.78,12358.0,10.21,11760.0,0.36906581763360147,0.10573202745300624,0.32298398574636544,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
