fips,TOT_POP_1519_C,TOT_POP_2024_C,TOT_POP_2529_C,TOT_POP_3034_C,TOT_POP_3539_C,TOT_FEMALE_1519_C,TOT_FEMALE_2024_C,TOT_FEMALE_2529_C,TOT_FEMALE_3034_C,TOT_FEMALE_3539_C,WA_FEMALE_1519_C,WA_FEMALE_2024_C,WA_FEMALE_2529_C,WA_FEMALE_3034_C,WA_FEMALE_3539_C,BA_FEMALE_1519_C,BA_FEMALE_2024_C,BA_FEMALE_2529_C,BA_FEMALE_3034_C,BA_FEMALE_3539_C,H_FEMALE_1519_C,H_FEMALE_2024_C,H_FEMALE_2529_C,H_FEMALE_3034_C,H_FEMALE_3539_C,NHWA_FEMALE_1519_C,NHWA_FEMALE_2024_C,NHWA_FEMALE_2529_C,NHWA_FEMALE_3034_C,NHWA_FEMALE_3539_C,NHBA_FEMALE_1519_C,NHBA_FEMALE_2024_C,NHBA_FEMALE_2529_C,NHBA_FEMALE_3034_C,NHBA_FEMALE_3539_C,dem2020_P,birth_rate_2020_N,births_2020_N,NHWA_FEMALE_2034_share_X,NHBA_FEMALE_2034_share_X,H_FEMALE_2034_share_X,race_category_X,regime_X,pol_group_X,reg_Minority_majority_X,reg_Mixed_Competitive_X,reg_Mixed_Democratic_X,reg_Mixed_Republican_X,reg_White_Competitive_X,reg_White_Democratic_X,reg_White_Republican_X
1003,13865,11342,12438,13110,13976,6893,5624,6231,6697,7077,5627,4658,5233,5730,6087,788,663,706,714,696,512,388,330,440,447,5152,4307,4941,5340,5687,781,654,688,684,667,0.22409029987509,10.0,2292.0,0.7863303147908581,0.10920655454937472,0.06241914618369987,White,White_Republican,Republican,False,False,False,False,False,False,True
1015,8613,8189,7566,7268,6977,4273,4082,3836,3677,3533,2719,2684,2700,2714,2606,1364,1224,1007,854,797,260,176,134,188,164,2501,2544,2587,2554,2477,1340,1207,998,844,780,0.2984524253182433,11.12,1262.0,0.6627856834842605,0.26295817162570073,0.04294954721862872,White,White_Republican,Republican,False,False,False,False,False,False,True
1055,6132,5925,6483,5997,6169,2979,2919,3294,3152,3161,2281,2231,2548,2444,2510,519,560,625,595,561,222,174,173,186,151,2104,2093,2408,2299,2395,514,554,618,588,553,0.2423524974857526,11.44,1171.0,0.7261078483715964,0.18793379604911906,0.05691404164442072,White,White_Republican,Republican,False,False,False,False,False,False,True
1073,42319,41675,48750,48392,44968,21093,21528,25304,25316,23550,10306,10763,12706,12751,11624,9955,9737,11569,11556,10986,1358,1192,1183,1236,1142,9124,9754,11714,11681,10655,9826,9632,11438,11435,10874,0.5575851317178562,12.1,7929.0,0.45945833564339966,0.4505322392859123,0.050049897433054276,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
1081,14437,22170,12568,11349,11139,7228,10564,6283,5782,5707,5293,8117,4155,3889,3842,1422,1969,1676,1535,1451,417,385,284,368,280,4963,7788,3926,3592,3602,1394,1937,1643,1502,1429,0.38992848045459,11.04,1842.0,0.6763887047593795,0.22457907994166776,0.0458261522824694,White,White_Republican,Republican,False,False,False,False,False,False,True
1089,25542,25906,27497,26966,25681,12594,13045,13402,13513,12803,7442,7424,8296,8710,8510,4133,4612,4171,3992,3515,1136,967,793,882,961,6538,6663,7644,8030,7696,4006,4494,4075,3858,3405,0.4481560017867503,11.43,4337.0,0.558983983983984,0.310985985985986,0.06611611611611612,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
1097,26446,26283,29244,28315,26073,13008,13359,15070,14936,13772,6907,7218,7877,8239,7640,5276,5452,6391,5960,5379,477,493,505,535,515,6511,6818,7460,7796,7226,5231,5407,6344,5902,5325,0.4338953069380445,12.85,5302.0,0.5090280179868557,0.40707944194627005,0.035351089588377724,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
1101,15026,15548,16221,16080,15127,7241,8026,8445,8482,8034,2018,2152,2087,2232,2357,4777,5528,5934,5822,5185,452,287,330,310,330,1681,1915,1891,1992,2115,4712,5507,5868,5769,5135,0.6508941990538537,13.97,3138.0,0.23235683084198291,0.6870516571153769,0.037149841702400516,Black,Minority_majority,Democratic,True,False,False,False,False,False,False
1103,7826,6921,7496,7407,7655,3784,3365,3735,3646,3749,3037,2601,2899,2924,3069,534,562,658,584,541,623,389,355,381,427,2478,2264,2587,2597,2695,509,543,642,549,524,0.2463422806299095,12.21,1464.0,0.6930951051554066,0.16136236739251814,0.10469011725293133,White,White_Republican,Republican,False,False,False,False,False,False,True
1117,15270,13060,13018,13676,15202,7581,6631,6623,7145,7730,6008,5247,5162,5529,5942,1150,1056,1151,1274,1431,766,582,550,552,593,5301,4710,4659,5034,5382,1135,1040,1125,1245,1419,0.289412788168769,10.07,2230.0,0.706064022746213,0.16716505711064267,0.08255306632678072,White,White_Republican,Republican,False,False,False,False,False,False,True
