state,fips,county,pop_2010,pop_2020
Alabama,01001,Autauga,54571.0,58809.0
Alabama,01003,Baldwin,182265.0,231768.0
Alabama,01005,Barbour,27457.0,25229.0
Alabama,01007,Bibb,22915.0,22301.0
Alabama,01009,Blount,57322.0,59130.0
Alabama,01011,Bullock,10914.0,10360.0
Alabama,01013,Butler,20947.0,19046.0
Alabama,01015,Calhoun,118572.0,116441.0
Alabama,01017,Chambers,34215.0,34772.0
Alabama,01019,Cherokee,25989.0,24973.0
Alabama,01021,Chilton,43643.0,45011.0
Alabama,01023,Choctaw,13859.0,12669.0
Alabama,01025,Clarke,25833.0,23091.0
Alabama,01027,Clay,13932.0,14237.0
Alabama,01029,Cleburne,14972.0,15057.0
Alabama,01031,Coffee,49948.0,53459.0
Alabama,01033,Colbert,54428.0,57232.0
Alabama,01035,Conecuh,13228.0,11597.0
Alabama,01037,Coosa,11539.0,10378.0
Alabama,01039,Covington,37765.0,37563.0
Alabama,01041,Crenshaw,13906.0,13193.0
Alabama,01043,Cullman,80406.0,87857.0
Alabama,01045,Dale,50251.0,49322.0
Alabama,01047,Dallas,43820.0,38458.0
Alabama,01049,Dekalb,71109.0,71617.0
Alabama,01051,Elmore,79303.0,87980.0
Alabama,01053,Escambia,38319.0,36768.0
Alabama,01055,Etowah,104430.0,103434.0
Alabama,01057,Fayette,17241.0,16326.0
Alabama,01059,Franklin,31704.0,32112.0
Alabama,01061,Geneva,26790.0,26658.0
Alabama,01063,Greene,9045.0,7731.0
Alabama,01065,Hale,15760.0,14788.0
Alabama,01067,Henry,17302.0,17141.0
Alabama,01069,Houston,101547.0,107202.0
Alabama,01071,Jackson,53227.0,52579.0
Alabama,01073,Jefferson,658466.0,674340.0
Alabama,01075,Lamar,14564.0,13972.0
Alabama,01077,Lauderdale,92709.0,93562.0
Alabama,01079,Lawrence,34339.0,33074.0
Alabama,01081,Lee,140247.0,174247.0
Alabama,01083,Limestone,82782.0,103565.0
Alabama,01085,Lowndes,11299.0,10321.0
Alabama,01087,Macon,21452.0,19527.0
Alabama,01089,Madison,334811.0,388154.0
Alabama,01091,Marengo,21027.0,19325.0
Alabama,01093,Marion,30776.0,29340.0
Alabama,01095,Marshall,93019.0,97611.0
Alabama,01097,Mobile,412992.0,414809.0
Alabama,01099,Monroe,23068.0,19771.0
Alabama,01101,Montgomery,229363.0,228952.0
Alabama,01103,Morgan,119490.0,123424.0
Alabama,01105,Perry,10591.0,8513.0
Alabama,01107,Pickens,19746.0,19130.0
Alabama,01109,Pike,32899.0,33002.0
Alabama,01111,Randolph,22913.0,21961.0
Alabama,01113,Russell,52947.0,59182.0
Alabama,01117,Shelby,195085.0,223038.0
Alabama,01115,St. Clair,83593.0,91468.0
Alabama,01119,Sumter,13763.0,12344.0
Alabama,01121,Talladega,82291.0,82149.0
Alabama,01123,Tallapoosa,41616.0,41309.0
Alabama,01125,Tuscaloosa,194656.0,227037.0
Alabama,01127,Walker,67023.0,65344.0
Alabama,01129,Washington,17581.0,15389.0
